Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
265,8.1,271.5,1.9,1760.4,74.4,102.3,1.5,464.2,8.8,,
286.9,8.8,275.8,2.3,1782.2,12.2,102.4,1.3,466.7,4.5,,
365.6,9.3,315.4,2.3,1786.6,6.2,102.4,3.1,467.1,4.5,,
429.2,7,333.6,7.9,1800.9,7.7,102.5,2.1,467.9,4.6,,
430,14.9,341.8,12.7,1803,10.9,102.5,4.2,468.2,6.6,,
434.5,8,351.9,4.7,1808.3,10.4,102.6,2.6,470.7,11.8,,
438.5,16.4,353.5,3.4,1816.2,16.9,102.6,3.6,470.8,8.4,,
454.2,10,355,4.9,1836.7,18.8,102.6,1.5,470.9,9.6,,
455.2,11.6,374.8,8.5,1842.6,23.7,102.7,3.1,473.7,12.7,,
456.1,10.6,376,6.2,1844.3,10.8,102.9,1.6,474.1,4.6,,
495,6.8,381.2,2.3,1850.5,10.2,103.2,2.6,474.9,6.3,,
535.7,29.8,383.8,2.2,1872.2,5,103.2,2.6,475.6,11.9,,
558.7,10.9,384.3,3.7,1896.9,9.6,103.2,2,477.2,5.4,,
687.8,19.1,385.1,5,1906.2,21.5,103.6,1.4,478.3,7.6,,
875.6,13.3,389.8,6.3,1910.5,14.4,103.6,1.7,479.3,5.8,,
995.1,23,408.1,5.9,1914,25.8,103.6,1.2,479.8,5,,
1000.4,18.3,412.9,2.8,2022.9,51.3,103.6,3,481.6,23,,
1010.6,22.1,413.4,7.5,2079.2,10,103.6,3.4,482,12.2,,
1030.5,23,414.4,14,2083.3,12.5,103.7,2.5,482.1,12,,
1033.5,45.7,416.4,10.1,2085.4,8.2,103.7,3.9,482.2,11.7,,
1035.3,30.8,419,3.7,2086.4,13.8,103.8,1,482.7,4.7,,
1059.1,20.7,425.3,5.5,2456,6.7,103.8,2.2,484.8,5.3,,
1063.4,49.1,442,5.9,2459.8,12.2,103.8,1.3,485.4,4,,
1082.8,21.2,446.2,5.2,2527.9,16.8,103.9,5.8,486.1,20.6,,
1137.8,104.5,446.6,2.2,2712.7,6.6,104.1,4.3,487.8,21.7,,
1144.4,35.2,447,10,2716.5,12,104.1,2.2,490.1,6.1,,
1168.9,14.6,448.7,8.7,2989.1,5.3,104.2,1.8,491.7,4.7,,
1318.5,35.8,455,23.2,90.35065233,1.774527537,104.3,4,496.3,7.4,,
1393,40.9,472.8,3.8,95.87545786,1.92283166,104.3,3.2,498.5,12.7,,
